"id","nombre","codigo","fir_id","created_at"
1,Ancasti,ANC,1,2026-01-08 14:55:24.827
2,Andalgalá,AND,1,2026-01-08 14:55:25.319
3,Catamarca,CAT,1,2026-01-08 14:55:25.779
4,Ceres,ERE,1,2026-01-08 14:55:26.257
5,Córdoba,CBA,1,2026-01-08 14:55:26.741
6,Frias,FRI,1,2026-01-08 14:55:27.219
7,Jujuy,JUJ,1,2026-01-08 14:55:27.685
8,La Rioja,LAR,1,2026-01-08 14:55:28.184
9,La posta,LPO,1,2026-01-08 14:55:28.788
10,Marcos Juarez,MJZ,1,2026-01-08 14:55:29.302
11,Monte Quemado,MTQ,1,2026-01-08 14:55:29.914
12,Morteros,MTR,1,2026-01-08 14:55:30.537
13,Rio Cuarto,TRC,1,2026-01-08 14:55:31.146
14,Salta,SAL,1,2026-01-08 14:55:31.763
15,San Juancito,STO,1,2026-01-08 14:55:32.366
16,Santa Rosa de Conlara,SRC,1,2026-01-08 14:55:32.990
17,Santiago del Estero,SDE,1,2026-01-08 14:55:33.600
18,Susques,SUS,1,2026-01-08 14:55:34.217
19,Tartagal,TAR,1,2026-01-08 14:55:34.725
20,Termas de Rio Hondo,TRH,1,2026-01-08 14:55:35.351
21,Tucumán,TUC,1,2026-01-08 14:55:35.954
22,Comodoro Rivadavia,CRV,2,2026-01-08 14:55:36.538
23,El Calafate,ECA,2,2026-01-08 14:55:37.085
24,Esquel,ESQ,2,2026-01-08 14:55:37.601
25,Ingeniero Jacobacci,IJC,2,2026-01-08 14:55:38.208
26,Puerto Madryn,DRY,2,2026-01-08 14:55:38.682
27,Rio Mayo,RMY,2,2026-01-08 14:55:39.235
28,Río Gallegos,GAL,2,2026-01-08 14:55:39.748
29,Río Grande,GRA,2,2026-01-08 14:55:40.331
30,San Julián,SJU,2,2026-01-08 14:55:40.870
31,Trelew,TRE,2,2026-01-08 14:55:41.385
32,Ushuaia,USH,2,2026-01-08 14:55:41.894
33,Viedma,VIE,2,2026-01-08 14:55:42.416
34,Malargue,MLG,3,2026-01-08 14:55:42.971
35,Mendoza,DOZ,3,2026-01-08 14:55:43.440
38,San Juan,JUA,3,2026-01-08 14:55:44.870
39,San Luis,UIS,3,2026-01-08 14:55:45.328
40,San Rafael,SRA,3,2026-01-08 14:55:45.799
41,Villa Reynolds,RYD,3,2026-01-08 14:55:46.263
42,Aeroparque J. Newbery,AER,4,2026-01-08 14:55:46.726
43,Bahía Blanca,BCA,4,2026-01-08 14:55:47.190
44,Bariloche,BAR,4,2026-01-08 14:55:47.645
45,Chacharramendi,CHA,4,2026-01-08 14:55:48.182
46,Chapelco,CHP,4,2026-01-08 14:55:48.655
47,Choele Choel,OEL,4,2026-01-08 14:55:49.272
48,Concordia,DIA,4,2026-01-08 14:55:49.910
49,Ezeiza,EZE,4,2026-01-08 14:55:50.525
50,Ezeiza,ACC,4,2026-01-08 14:55:51.132
36,Ezeiza,TWR,4,2026-01-08 14:55:43.897
52,General Pico,GPI,4,2026-01-08 14:55:52.150
53,Gualeguaychu,GUA,4,2026-01-08 14:55:52.643
54,Junin,NIN,4,2026-01-08 14:55:53.156
55,Laboulaye,LYE,4,2026-01-08 14:55:53.737
56,Mar del Plata,MDP,4,2026-01-08 14:55:54.288
57,Mariano Moreno,ENO,4,2026-01-08 14:55:54.903
58,Moron,MOR,4,2026-01-08 14:55:55.521
59,Neuquén,NEU,4,2026-01-08 14:55:56.128
60,Palomar,PAL,4,2026-01-08 14:55:56.743
61,Parana,PAR,4,2026-01-08 14:55:57.254
62,Pehuajo,PEH,4,2026-01-08 14:55:57.873
63,Piedra del Águila,PGA,4,2026-01-08 14:55:58.483
37,Rincón de los Sauces,RIN,4,2026-01-08 14:55:44.395
65,Rosario,ROS,4,2026-01-08 14:55:59.708
66,San Fernando,FDO,4,2026-01-08 14:56:00.332
67,Santa Rosa,OSA,4,2026-01-08 14:56:00.948
68,Sauce Viejo,SVO,4,2026-01-08 14:56:01.554
69,Tandil,DIL,4,2026-01-08 14:56:02.188
70,Corrientes,CRR,5,2026-01-08 14:56:02.782
71,Formosa,FSA,5,2026-01-08 14:56:03.280
72,Goya,GOY,5,2026-01-08 14:56:03.757
73,Iguazu,IGU,5,2026-01-08 14:56:04.215
74,Las Lomitas,ITA,5,2026-01-08 14:56:04.683
75,Paso de los libres,LIB,5,2026-01-08 14:56:05.140
76,Posadas,POS,5,2026-01-08 14:56:05.657
77,Reconquista,RTA,5,2026-01-08 14:56:06.281
78,Resistencia,SIS,5,2026-01-08 14:56:06.814
79,Roque saenz peña,PSP,5,2026-01-08 14:56:07.389
