"id","message","type","read","user_id","created_at","aeropuerto_id","fir_id","sector"
1,Equipo R&S XU4200 en Malargue cambió estado a OPERATIVO,SUCCESS,true,,2026-01-09 03:06:47.110,,,
2,Cambio de equipo en Malargüe: se puso AL AIRE el Equipo 2,INFO,true,,2026-01-09 03:27:25.443,,,
3,Equipo R&S XU4200 en Malargue cambió estado a PRECAUCION,WARNING,true,,2026-01-09 03:27:37.302,,,
4,Cambio de equipo en Malargüe: se puso AL AIRE el Equipo 1,INFO,true,,2026-01-09 03:27:49.967,,,
9,Cambio de equipo en Malargüe: se puso AL AIRE el Equipo 2,INFO,true,,2026-01-12 15:13:33.712,,,
5,Nuevo Checklist #11 cargado en Malargue (OPERATIVO),INFO,true,,2026-01-09 05:09:22.143,,3,COMUNICACIONES
6,Nuevo Checklist #12 cargado en Malargue (OPERATIVO),INFO,true,,2026-01-09 05:32:55.605,,3,COMUNICACIONES
7,Nuevo Checklist #13 cargado en Malargue (OPERATIVO),INFO,true,,2026-01-09 13:04:48.308,,3,COMUNICACIONES
8,CNS REGIONAL: Nuevo Checklist #15 en Malargue - (OPERATIVO),SUCCESS,true,,2026-01-09 14:07:59.356,,3,COMUNICACIONES
10,CNS REGIONAL: Nuevo Checklist #16 en Malargue - (OPERATIVO),SUCCESS,true,,2026-01-12 15:13:39.166,,3,COMUNICACIONES
11,CNS REGIONAL: Nuevo Checklist #17 en Malargue - (OPERATIVO),SUCCESS,true,,2026-01-14 16:38:23.233,,3,COMUNICACIONES
