"id","fir","aeropuerto","sitio","created_at"
1,CBA,Córdoba,Córdoba,2026-01-08 16:19:52.268
2,CBA,Tucumán,Tucumán,2026-01-08 16:20:35.307
3,CBA,Río Cuarto,Rio Cuarto,2026-01-08 16:20:51.025
4,CBA,Santiago del Estero,Santiago del Estero,2026-01-08 16:21:01.434
5,CBA,Termas de Río Hondo,Termas de Rio Hondo,2026-01-08 16:21:07.369
6,CBA,La Rioja,La Rioja,2026-01-08 16:21:12.784
7,CBA,Catamarca,Catamarca,2026-01-08 16:21:18.524
8,CBA,Salta,Salta,2026-01-08 16:21:26.822
9,CBA,Jujuy,Jujuy,2026-01-08 16:21:47.000
10,CBA,Santa Rosa de Conlara,Santa Rosa de Conlara,2026-01-08 16:21:54.576
11,CBA,Tartagal,Tartagal,2026-01-08 16:22:06.242
12,CBA,Susques,Susques,2026-01-08 16:22:10.731
13,CBA,San Juancito,San Juancito,2026-01-08 16:22:14.167
14,CBA,Monte Quemado,Monte Quemado,2026-01-08 16:22:18.339
15,CBA,Andalgalá,Andalgalá,2026-01-08 16:22:22.543
16,CBA,Ancasti,Ancasti,2026-01-08 16:22:26.107
17,CBA,Frias,Frias,2026-01-08 16:22:30.410
18,CBA,Ceres,Ceres,2026-01-08 16:22:34.019
19,CBA,La Posta,La posta,2026-01-08 16:22:37.889
20,CBA,Morteros,Morteros,2026-01-08 16:22:41.675
21,CBA,Marcos Juarez,Marcos Juarez,2026-01-08 16:22:45.871
22,CRV,Comodoro Rivadavia,Comodoro Rivadavia,2026-01-08 16:22:50.174
23,CRV,Puerto Madryn,Puerto Madryn,2026-01-08 16:23:11.787
24,CRV,Esquel,Esquel,2026-01-08 16:23:20.792
25,CRV,El Calafate,El Calafate,2026-01-08 16:23:34.830
26,CRV,Río Gallegos,Río Gallegos,2026-01-08 16:23:45.577
27,CRV,Río Grande,Río Grande,2026-01-08 16:24:00.019
28,CRV,Trelew,Trelew,2026-01-08 16:24:12.662
29,CRV,Comodoro Rivadavia,Trelew,2026-01-08 16:24:19.952
30,CRV,Ushuaia,Ushuaia,2026-01-08 16:24:21.840
31,CRV,Viedma,Viedma,2026-01-08 16:24:32.473
32,CRV,Puerto San Julián,San Julián,2026-01-08 16:24:45.071
33,CRV,Río Mayo,Rio Mayo,2026-01-08 16:24:48.751
34,CRV,Ingeniero Jacobacci,Ingeniero Jacobacci,2026-01-08 16:24:52.950
35,DOZ,Mendoza,Mendoza,2026-01-08 16:24:56.854
36,DOZ,San Juan,San Juan,2026-01-08 16:25:14.883
37,DOZ,Villa Reynolds,Villa Reynolds,2026-01-08 16:25:24.326
38,DOZ,San Luis,San Luis,2026-01-08 16:25:33.202
39,DOZ,San Rafael,San Rafael,2026-01-08 16:25:38.817
40,DOZ,Malargüe,Malargue,2026-01-08 16:25:44.623
41,DOZ,Rincón de los Sauces,Rincón de los Sauces,2026-01-08 16:25:54.810
42,EZE,Rincón de los Sauces,Rincón de los Sauces,2026-01-08 16:25:58.504
43,SIS,Resistencia,Resistencia,2026-01-08 16:26:02.478
44,SIS,Formosa,Formosa,2026-01-08 16:26:17.472
45,SIS,Cataratas del Iguazú,Iguazu,2026-01-08 16:26:27.366
46,SIS,Posadas,Posadas,2026-01-08 16:26:43.941
47,SIS,Paso de los Libres,Paso de los libres,2026-01-08 16:26:51.959
48,SIS,Reconquista,Reconquista,2026-01-08 16:27:01.995
49,SIS,Corrientes,Corrientes,2026-01-08 16:27:11.291
50,SIS,Goya,Goya,2026-01-08 16:27:16.685
51,SIS,Las Lomitas,Las Lomitas,2026-01-08 16:27:21.545
52,SIS,Presidencia Roque Saenz Peña,Roque saenz peña,2026-01-08 16:27:25.009
53,EZE,Ezeiza,Ezeiza,2026-01-08 16:27:28.600
54,EZE,Aeroparque,Aeroparque J. Newbery,2026-01-08 16:28:28.533
55,EZE,Sauce Viejo,Sauce Viejo,2026-01-08 16:29:27.286
56,EZE,Gualeguaychú,Gualeguaychu,2026-01-08 16:29:35.588
57,EZE,Rosario,Rosario,2026-01-08 16:29:44.496
58,EZE,Tandil,Tandil,2026-01-08 16:29:59.690
59,EZE,Mar del Plata,Mar del Plata,2026-01-08 16:30:08.344
60,EZE,Bahía Blanca,Bahía Blanca,2026-01-08 16:30:16.903
61,EZE,Santa Rosa,Santa Rosa,2026-01-08 16:30:28.992
62,EZE,Neuquén,Neuquén,2026-01-08 16:30:36.196
63,EZE,Concordia,Concordia,2026-01-08 16:30:48.076
64,EZE,El Palomar,Palomar,2026-01-08 16:31:00.274
65,EZE,Morón,Moron,2026-01-08 16:31:09.472
66,EZE,Paraná,Parana,2026-01-08 16:31:17.768
67,EZE,Pehuajó,Pehuajo,2026-01-08 16:31:26.263
68,EZE,San Fernando,San Fernando,2026-01-08 16:31:29.848
69,EZE,San Martín de los Andes,Chapelco,2026-01-08 16:31:40.905
70,EZE,Junín,Junin,2026-01-08 16:31:51.670
71,EZE,General Pico,General Pico,2026-01-08 16:32:01.558
72,EZE,San Carlos de Bariloche,Bariloche,2026-01-08 16:32:07.386
73,EZE,Moreno,Mariano Moreno,2026-01-08 16:32:17.236
74,EZE,Laboulaye,Laboulaye,2026-01-08 16:32:22.379
75,EZE,Choele Choel,Choele Choel,2026-01-08 16:32:29.254
76,EZE,Chacharramendi,Chacharramendi,2026-01-08 16:32:33.296
77,EZE,Piedra del Águila,Piedra del Águila,2026-01-08 16:32:36.826
